match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445556,2024-01-20T18:00:00Z,FINISHED,1603,,6618,Casa Pia AC,5602,SC Farense,SC Farense,1,3
445558,2024-01-20T20:30:00Z,FINISHED,1603,,503,FC Porto,583,Moreirense FC,FC Porto,5,0
445562,2024-01-21T15:30:00Z,FINISHED,1603,,5601,Portimonense SC,5533,Gil Vicente FC,Gil Vicente FC,0,2
445560,2024-01-21T18:00:00Z,FINISHED,1603,,1103,GD Chaves,496,Rio Ave FC,Draw,0,0
445563,2024-01-21T20:30:00Z,FINISHED,1603,,5543,Vitória SC,9136,CF Estrela da Amadora,Vitória SC,3,0
445564,2024-01-28T15:30:00Z,FINISHED,1603,,810,Boavista FC,5601,Portimonense SC,Portimonense SC,1,4
445567,2024-01-28T15:30:00Z,FINISHED,1603,,583,Moreirense FC,5531,FC Famalicão,Moreirense FC,1,0
445570,2024-01-28T18:00:00Z,FINISHED,1603,,5602,SC Farense,503,FC Porto,FC Porto,1,3
445566,2024-01-28T20:30:00Z,FINISHED,1603,,712,FC Arouca,5589,FC Vizela,FC Arouca,5,0
445569,2024-01-28T20:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,5543,Vitória SC,Gil Vicente FC,1,0
445565,2024-01-29T18:45:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,1,4
445572,2024-01-29T20:45:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,6618,Casa Pia AC,Sporting Clube de Portugal,8,0
445568,2024-01-31T18:45:00Z,FINISHED,1603,,496,Rio Ave FC,582,GD Estoril Praia,Draw,1,1
445571,2024-01-31T20:45:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,1103,GD Chaves,Draw,1,1
445580,2024-02-03T15:30:00Z,FINISHED,1603,,5601,Portimonense SC,712,FC Arouca,FC Arouca,1,2
445576,2024-02-03T20:30:00Z,FINISHED,1603,,503,FC Porto,496,Rio Ave FC,Draw,0,0
445577,2024-02-04T15:30:00Z,FINISHED,1603,,5589,FC Vizela,5543,Vitória SC,Vitória SC,0,1
445578,2024-02-04T15:30:00Z,FINISHED,1603,,1103,GD Chaves,5602,SC Farense,Draw,1,1
445573,2024-02-04T18:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5533,Gil Vicente FC,Sport Lisboa e Benfica,3,0
445579,2024-02-04T18:00:00Z,FINISHED,1603,,582,GD Estoril Praia,9136,CF Estrela da Amadora,GD Estoril Praia,1,0
445581,2024-02-04T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,583,Moreirense FC,Sporting Clube de Braga,1,0
445574,2024-02-05T20:15:00Z,FINISHED,1603,,6618,Casa Pia AC,810,Boavista FC,Draw,0,0
445583,2024-02-09T20:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5601,Portimonense SC,CF Estrela da Amadora,3,0
445588,2024-02-10T15:30:00Z,FINISHED,1603,,5602,SC Farense,5531,FC Famalicão,Draw,1,1
445585,2024-02-10T18:00:00Z,FINISHED,1603,,583,Moreirense FC,1103,GD Chaves,Moreirense FC,1,0
445582,2024-02-10T20:30:00Z,FINISHED,1603,,810,Boavista FC,582,GD Estoril Praia,Boavista FC,2,1
445586,2024-02-11T15:30:00Z,FINISHED,1603,,496,Rio Ave FC,6618,Casa Pia AC,Rio Ave FC,1,0
445589,2024-02-11T18:00:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,5613,Sporting Clube de Braga,Sporting Clube de Portugal,5,0
445590,2024-02-11T20:30:00Z,FINISHED,1603,,5543,Vitória SC,1903,Sport Lisboa e Benfica,Draw,2,2
445584,2024-02-12T20:15:00Z,FINISHED,1603,,712,FC Arouca,503,FC Porto,FC Arouca,3,2
445587,2024-02-13T15:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,5589,FC Vizela,FC Vizela,0,1
445593,2024-02-16T20:15:00Z,FINISHED,1603,,5531,FC Famalicão,496,Rio Ave FC,FC Famalicão,2,1
445596,2024-02-17T15:30:00Z,FINISHED,1603,,1103,GD Chaves,810,Boavista FC,GD Chaves,2,1
445598,2024-02-17T18:00:00Z,FINISHED,1603,,5601,Portimonense SC,5543,Vitória SC,Draw,1,1
445595,2024-02-17T20:30:00Z,FINISHED,1603,,503,FC Porto,9136,CF Estrela da Amadora,FC Porto,2,0
445592,2024-02-18T15:30:00Z,FINISHED,1603,,6618,Casa Pia AC,712,FC Arouca,Casa Pia AC,1,0
445591,2024-02-18T18:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5589,FC Vizela,Sport Lisboa e Benfica,6,1
445597,2024-02-18T18:00:00Z,FINISHED,1603,,582,GD Estoril Praia,5533,Gil Vicente FC,Gil Vicente FC,1,3
445599,2024-02-18T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,5602,SC Farense,Sporting Clube de Braga,2,1
445594,2024-02-19T20:15:00Z,FINISHED,1603,,583,Moreirense FC,498,Sporting Clube de Portugal,Sporting Clube de Portugal,0,2
445603,2024-02-23T20:15:00Z,FINISHED,1603,,712,FC Arouca,5531,FC Famalicão,FC Arouca,3,2
445607,2024-02-24T15:30:00Z,FINISHED,1603,,5602,SC Farense,583,Moreirense FC,Moreirense FC,0,1
445602,2024-02-24T18:00:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,1103,GD Chaves,Draw,1,1
